rec-id,gender,given-name,surname,postcode,city,telephone-number,credit-card-number,income-normal,age-uniform,income,age,attr-depend-on-normalage,sex,blood-pressure,native_country,marital,age-Australia-pyramidal
rec-0000-org,female,amber,neitzel,2620,sydney,03 3436 4511,5565 9034 6799 6956,63392.71,89,74586.8,62,47,na,72.236,Australia,Married,76
rec-0001-dup-0,,felikity,joly,2913,sydney,,4024 0071 1680 291,57259.55,19,40255.5,85,53,na,76.272,united state of america,Married,47
rec-0001-org,female,felicity,jolly,2913,sydney,08 1474 2007,4024 0071 1680 2991,57259.55,19,40255.5,85,53,na,76.272,united state of america,Married,47
rec-0002-org,female,emerson,hanretty,2605,brisbane,07 5677 4095,4539 1525 6320 6318,74771.11,85,128812.2,66,27,f,72.669,Australia,Divorced,68
rec-0003-org,male,isabella,ryan,2902,melbourne,03 2895 0981,3514 2478 0645 4724,41419.26,33,30356.1,61,39,f,68.675,Australia,Single,76
rec-0004-org,female,lily,caruana,2902,perth,03 6654 2878,4227 3868 4032 0776,23148.56,20,46686.9,45,67,m,72.614,Australia,Married,27
rec-0005-org,male,sarah,carmody,2913,sydney,04 2041 7920,3588 4402 3080 1419,32136.10,112,68194.6,85,58,m,77.217,japan,Divorced,47
rec-0006-org,male,sarah,nguyen,2614,perth,02 0857 1545,5532 4919 8649 6401,13414.22,4,73556.6,19,41,na,77.421,united state of america,Married,84
rec-0007-dup-0,,elyl,sto9neff,2906,hobar6,,4556 8204 0537 7269,43187.57,73,28468.7,63,45,na,76.913,united state of america,Divorced,47
rec-0007-dup-1,female,elly,sdogneff,missing,hobart,,4556 204 0537 7269,43187.57,73,28468.7,64,45,na,76.913,united state of america,Divorced,47
rec-0007-org,female,elly,stogneff,2906,hobart,02 8617 4106,4556 8204 0537 7269,43187.57,73,28468.7,63,45,na,76.913,united state of america,Divorced,47
rec-0008-dup-0,male,emiily,tixon,26q4,perth,,4320 87001 9889 2697,13188.95,95,97860.3,025,28,f,72.696,India,Single,21
rec-0008-dup-1,,emiiky,dix0n,2614,per5h,04 6834 8319,4320 78001 9889 2697,13188.95,95,97860.3,25,28,f,72.696,India,Single,21
rec-0008-dup-2,,emiily,tixon,2613,perdh,04 6834 8319,4320 7001 98839 2697,13188.95,95,97860.3,25,28,f,72.696,India,Single,21
rec-0008-org,male,emiily,dixon,2614,perth,04 6834 8319,4320 7001 9889 2697,13188.95,95,97860.3,25,28,f,72.696,India,Single,21
